name,route,run,status,issues,url,finalUrl,title,duration,slow,navError,bodyLength,divs,headings,buttons,hasReactCrash,hasVisibleEmpty,consoleErrors,pageErrors,failedRequests,badResponses,ignoredOdooConsoleErrors,ignoredOdooFailedRequests,ignoredOdooBadResponses
"salon dashboard run 1","dashboard","1","PASS","","http://localhost:5173/#/salon/totem-demo-salon/dashboard","http://localhost:5173/#/salon/totem-demo-salon/dashboard","TOTEM SDK","4759","false","","419","25","1","1","false","false","","","","","","",""
"salon masters run 1","masters","1","PASS","","http://localhost:5173/#/salon/totem-demo-salon/masters","http://localhost:5173/#/salon/totem-demo-salon/masters","TOTEM SDK","3955","false","","1720","213","1","10","false","false","","","","","","",""
"salon bookings run 1","bookings","1","PASS","","http://localhost:5173/#/salon/totem-demo-salon/bookings","http://localhost:5173/#/salon/totem-demo-salon/bookings","TOTEM SDK","3311","false","","697","51","1","4","false","false","","","","","","",""
"salon calendar run 1","calendar","1","PASS","","http://localhost:5173/#/salon/totem-demo-salon/calendar","http://localhost:5173/#/salon/totem-demo-salon/calendar","TOTEM SDK","3661","false","","1134","219","1","129","false","false","","","","","","",""
"salon clients run 1","clients","1","PASS","","http://localhost:5173/#/salon/totem-demo-salon/clients","http://localhost:5173/#/salon/totem-demo-salon/clients","TOTEM SDK","3305","false","","640","53","1","1","false","false","","","","","","",""
"salon services run 1","services","1","PASS","","http://localhost:5173/#/salon/totem-demo-salon/services","http://localhost:5173/#/salon/totem-demo-salon/services","TOTEM SDK","3815","false","","1070","71","3","9","false","false","","","","","","",""
"salon settings run 1","settings","1","PASS","","http://localhost:5173/#/salon/totem-demo-salon/settings","http://localhost:5173/#/salon/totem-demo-salon/settings","TOTEM SDK","3138","false","","1570","92","1","2","false","false","","","","","","",""
"salon finance run 1","finance","1","PASS","","http://localhost:5173/#/salon/totem-demo-salon/finance","http://localhost:5173/#/salon/totem-demo-salon/finance","TOTEM SDK","3638","false","","2262","116","12","1","false","false","","","","","","",""
"salon money run 1","money","1","PASS","","http://localhost:5173/#/salon/totem-demo-salon/money","http://localhost:5173/#/salon/totem-demo-salon/money","TOTEM SDK","3225","false","","1489","113","1","1","false","false","","","","","","",""
"salon transactions run 1","transactions","1","PASS","","http://localhost:5173/#/salon/totem-demo-salon/transactions","http://localhost:5173/#/salon/totem-demo-salon/transactions","TOTEM SDK","3842","false","","4824","427","30","1","false","false","","","","","","",""
"salon settlements run 1","settlements","1","PASS","","http://localhost:5173/#/salon/totem-demo-salon/settlements","http://localhost:5173/#/salon/totem-demo-salon/settlements","TOTEM SDK","3319","false","","1676","93","6","1","false","false","","","","","","",""
"salon payouts run 1","payouts","1","PASS","","http://localhost:5173/#/salon/totem-demo-salon/payouts","http://localhost:5173/#/salon/totem-demo-salon/payouts","TOTEM SDK","3415","false","","1874","125","8","1","false","false","","","","","","",""
"salon contracts run 1","contracts","1","PASS","","http://localhost:5173/#/salon/totem-demo-salon/contracts","http://localhost:5173/#/salon/totem-demo-salon/contracts","TOTEM SDK","3399","false","","2286","62","7","8","false","false","","","","","","",""
"salon dashboard run 2","dashboard","2","PASS","","http://localhost:5173/#/salon/totem-demo-salon/dashboard","http://localhost:5173/#/salon/totem-demo-salon/dashboard","TOTEM SDK","3487","false","","1782","90","4","1","false","false","","","","","","",""
"salon masters run 2","masters","2","PASS","","http://localhost:5173/#/salon/totem-demo-salon/masters","http://localhost:5173/#/salon/totem-demo-salon/masters","TOTEM SDK","3332","false","","1720","213","1","10","false","false","","","","","","",""
"salon bookings run 2","bookings","2","PASS","","http://localhost:5173/#/salon/totem-demo-salon/bookings","http://localhost:5173/#/salon/totem-demo-salon/bookings","TOTEM SDK","3758","false","","697","51","1","4","false","false","","","","","","",""
"salon calendar run 2","calendar","2","PASS","","http://localhost:5173/#/salon/totem-demo-salon/calendar","http://localhost:5173/#/salon/totem-demo-salon/calendar","TOTEM SDK","4639","false","","1134","219","1","129","false","false","","","","","","",""
"salon clients run 2","clients","2","PASS","","http://localhost:5173/#/salon/totem-demo-salon/clients","http://localhost:5173/#/salon/totem-demo-salon/clients","TOTEM SDK","3433","false","","640","53","1","1","false","false","","","","","","",""
"salon services run 2","services","2","PASS","","http://localhost:5173/#/salon/totem-demo-salon/services","http://localhost:5173/#/salon/totem-demo-salon/services","TOTEM SDK","3749","false","","1070","71","3","9","false","false","","","","","","",""
"salon settings run 2","settings","2","PASS","","http://localhost:5173/#/salon/totem-demo-salon/settings","http://localhost:5173/#/salon/totem-demo-salon/settings","TOTEM SDK","3505","false","","1570","92","1","2","false","false","","","","","","",""
"salon finance run 2","finance","2","PASS","","http://localhost:5173/#/salon/totem-demo-salon/finance","http://localhost:5173/#/salon/totem-demo-salon/finance","TOTEM SDK","3512","false","","2262","116","12","1","false","false","","","","","","",""
"salon money run 2","money","2","PASS","","http://localhost:5173/#/salon/totem-demo-salon/money","http://localhost:5173/#/salon/totem-demo-salon/money","TOTEM SDK","3445","false","","1489","113","1","1","false","false","","","","","","",""
"salon transactions run 2","transactions","2","PASS","","http://localhost:5173/#/salon/totem-demo-salon/transactions","http://localhost:5173/#/salon/totem-demo-salon/transactions","TOTEM SDK","3717","false","","4824","427","30","1","false","false","","","","","","",""
"salon settlements run 2","settlements","2","PASS","","http://localhost:5173/#/salon/totem-demo-salon/settlements","http://localhost:5173/#/salon/totem-demo-salon/settlements","TOTEM SDK","3503","false","","1676","93","6","1","false","false","","","","","","",""
"salon payouts run 2","payouts","2","PASS","","http://localhost:5173/#/salon/totem-demo-salon/payouts","http://localhost:5173/#/salon/totem-demo-salon/payouts","TOTEM SDK","3754","false","","1874","125","8","1","false","false","","","","","","",""
"salon contracts run 2","contracts","2","PASS","","http://localhost:5173/#/salon/totem-demo-salon/contracts","http://localhost:5173/#/salon/totem-demo-salon/contracts","TOTEM SDK","3519","false","","2286","62","7","8","false","false","","","","","","",""
"salon dashboard run 3","dashboard","3","PASS","","http://localhost:5173/#/salon/totem-demo-salon/dashboard","http://localhost:5173/#/salon/totem-demo-salon/dashboard","TOTEM SDK","3557","false","","1782","90","4","1","false","false","","","","","","",""
"salon masters run 3","masters","3","PASS","","http://localhost:5173/#/salon/totem-demo-salon/masters","http://localhost:5173/#/salon/totem-demo-salon/masters","TOTEM SDK","3492","false","","1720","213","1","10","false","false","","","","","","",""
"salon bookings run 3","bookings","3","PASS","","http://localhost:5173/#/salon/totem-demo-salon/bookings","http://localhost:5173/#/salon/totem-demo-salon/bookings","TOTEM SDK","3643","false","","697","51","1","4","false","false","","","","","","",""
"salon calendar run 3","calendar","3","PASS","","http://localhost:5173/#/salon/totem-demo-salon/calendar","http://localhost:5173/#/salon/totem-demo-salon/calendar","TOTEM SDK","3394","false","","1134","219","1","129","false","false","","","","","","",""
"salon clients run 3","clients","3","PASS","","http://localhost:5173/#/salon/totem-demo-salon/clients","http://localhost:5173/#/salon/totem-demo-salon/clients","TOTEM SDK","3602","false","","640","53","1","1","false","false","","","","","","",""
"salon services run 3","services","3","PASS","","http://localhost:5173/#/salon/totem-demo-salon/services","http://localhost:5173/#/salon/totem-demo-salon/services","TOTEM SDK","3711","false","","1070","71","3","9","false","false","","","","","","",""
"salon settings run 3","settings","3","PASS","","http://localhost:5173/#/salon/totem-demo-salon/settings","http://localhost:5173/#/salon/totem-demo-salon/settings","TOTEM SDK","3500","false","","1570","92","1","2","false","false","","","","","","",""
"salon finance run 3","finance","3","PASS","","http://localhost:5173/#/salon/totem-demo-salon/finance","http://localhost:5173/#/salon/totem-demo-salon/finance","TOTEM SDK","3561","false","","2262","116","12","1","false","false","","","","","","",""
"salon money run 3","money","3","PASS","","http://localhost:5173/#/salon/totem-demo-salon/money","http://localhost:5173/#/salon/totem-demo-salon/money","TOTEM SDK","3466","false","","1489","113","1","1","false","false","","","","","","",""
"salon transactions run 3","transactions","3","PASS","","http://localhost:5173/#/salon/totem-demo-salon/transactions","http://localhost:5173/#/salon/totem-demo-salon/transactions","TOTEM SDK","3595","false","","4824","427","30","1","false","false","","","","","","",""
"salon settlements run 3","settlements","3","PASS","","http://localhost:5173/#/salon/totem-demo-salon/settlements","http://localhost:5173/#/salon/totem-demo-salon/settlements","TOTEM SDK","3608","false","","1676","93","6","1","false","false","","","","","","",""
"salon payouts run 3","payouts","3","PASS","","http://localhost:5173/#/salon/totem-demo-salon/payouts","http://localhost:5173/#/salon/totem-demo-salon/payouts","TOTEM SDK","3889","false","","1874","125","8","1","false","false","","","","","","",""
"salon contracts run 3","contracts","3","PASS","","http://localhost:5173/#/salon/totem-demo-salon/contracts","http://localhost:5173/#/salon/totem-demo-salon/contracts","TOTEM SDK","3588","false","","2286","62","7","8","false","false","","","","","","",""
"salon root redirect","root-redirect","1","PASS","","http://localhost:5173/#/salon/totem-demo-salon","http://localhost:5173/#/salon/totem-demo-salon","TOTEM SDK","3536","false","","1782","90","4","1","false","false","","","","","","",""
